Date,Open,High,Low,Close,Shares Traded ,Turnover (₹ Cr)
27-Jun-24,15623.5,15724.8,15493.45,15641.8,2072623713,20069.95
28-Jun-24,15683.1,15763.4,15651.85,15711.15,2525591352,22798.87
1-Jul-24,15745.4,15849.65,15689.7,15840.4,1270358991,13336.2
2-Jul-24,15874.2,15886.8,15621.4,15711.45,1248203099,13676.41
3-Jul-24,15795.5,15879.65,15749.4,15862.3,1309981729,13042.88
4-Jul-24,15921.4,16001.05,15881,15976.05,1110242038,13512.33
5-Jul-24,15987.85,16118.65,15959.7,16097.35,1835326044,13729.71
8-Jul-24,16145.9,16146.5,15924.35,15988.95,1501841461,14340.05
9-Jul-24,16039.4,16080.3,15948.65,16027.45,1043856651,10225.94
10-Jul-24,16078.85,16079.35,15624.4,15947.75,998657674,10903.72
11-Jul-24,16026.5,16033.9,15917,15966.15,1304447575,11789.23
12-Jul-24,16037.65,16038.8,15934.75,15954.9,1099932018,12341.63
15-Jul-24,16025.15,16101.65,15904.1,16088.45,1169497320,13350.28
16-Jul-24,16164.75,16177.45,16068.25,16104.6,1417462906,12420.29
18-Jul-24,16091.6,16092.9,15875.55,16002.75,1180212173,14959.93
19-Jul-24,16001,16001,15570.5,15596.4,820170569,14497.24
22-Jul-24,15571.9,15923.55,15477.8,15867.1,1175345041,15696.07
23-Jul-24,15959.7,15977.05,15274,15843.55,1957375158,19902.41
24-Jul-24,15849.95,16012.55,15822.35,15981.15,1027693720,15874.44
25-Jul-24,15832.3,15973.25,15799.7,15938.85,1228644243,12957.33
26-Jul-24,15994.75,16305.65,15983.35,16296.3,1229362671,14006.27
29-Jul-24,16419.85,16500.1,16371.7,16455.9,1186331123,16723.71
30-Jul-24,16465.5,16585.4,16430.75,16546.55,890799993,12574.43
31-Jul-24,16643.45,16693.85,16579.45,16661.65,1417884683,17511.59
1-Aug-24,16735.65,16743.6,16402.15,16505.95,971097776,11921.51
2-Aug-24,16336.9,16419.15,16227.4,16269.15,1024882211,12723.8
5-Aug-24,15844.2,15968.8,15615.3,15735.95,1525807164,16527.39
6-Aug-24,15852.55,16066.4,15612.85,15654.65,804916948,11243.41
7-Aug-24,15940.1,16096.2,15839.95,16077.7,703930541,12375.88
8-Aug-24,16098.75,16179.4,16008.05,16052.6,873289513,12146.62
9-Aug-24,16220.05,16294.8,16148,16176.55,730899969,11533.43
12-Aug-24,16134.7,16230.7,16013.9,16196.75,862742901,13435.96
13-Aug-24,16265.4,16295.3,16031.9,16055.35,1078186978,11064.68
14-Aug-24,16105.05,16115.15,15880.4,15922.95,814073149,9297.71
16-Aug-24,16059.95,16258.1,16002,16246.25,706795181,10683.14
19-Aug-24,16341.45,16369.1,16201.7,16260.05,675893871,10783.31
20-Aug-24,16349.7,16408.3,16293.45,16394.95,619258619,9708.84
21-Aug-24,16408.8,16456.1,16358.2,16444.35,535040115,8486.48
22-Aug-24,16518.6,16605.2,16492.85,16575.35,607695947,9597.36
23-Aug-24,16598.35,16612.05,16451.15,16463.1,759821254,9171.87
26-Aug-24,16549.65,16599.3,16508.2,16558,563590720,9837.75
27-Aug-24,16603.6,16629.55,16546.1,16581,656973208,8187.94
28-Aug-24,16622.15,16655.55,16516.5,16586.2,728390534,9889.55
29-Aug-24,16591.9,16598,16402.35,16514.7,1125747595,10240.3
30-Aug-24,16592.75,16678,16560.65,16618.8,4719100133,29946.08
